Item Name,Selling Price (Customer)
ANNAPURNA DRIER,30
GODREJ DC FAN MOTOR PANASONIC 00007,700
R-290 OIL 250ML,150
R-32 OIL 250ML,150
BATALI SERVICE MACHINE,4200
SAMSUNG NEW LED BULB,100
26MM DRILL MACHINE,2800
VACCUM PUMP(CAMPIRO),4200
BATALI SERVICE PIPE,800
BATALI SERVICE GUN,550
LG DRAIN ASSEMBLY(GODREJ),350
MARUTI REFRIGERATION,
R-134 OIL UNICLA,310
R-134 OIL SANDEN,320
WHIRLPOOL WASHING MACHINE DOOR SWITCH,100
COIL SHINE,120
CONDENSOR CLEANER SPRAY,200
PLASTIC POLYTHENE PACKET,0.666666667
MARUTI REFRIGERATION,
WHIRLPOOL GENIUS VEG TRAY COVER ,300
2 MTR FULLY PIPE,250
3 MTR FULLY PIPE ,350
INSULATION FOAM 5/8(90 PIPE_,40
GODREJ DRAIN PIPE 2 MTR,120
LG COMPRESSOR MA 42,2750
LG COMPRESSOR MA 53,3200
CAMIPRO COMPRESSOR 1.5 TON AC(GMCC),7300
HITACHI 1.5 TON COMPRESSOR(HIGHLY),7200
2 MTR DRAIN PIPE FRONTLOAD (IFB),100
SCROLL COMPRESSOR(8 TON),31900
DELIVERY CHARGE,0.666666667
MARUTI REFRIGERATION,
LEVEL SCALE,150
DRILL BIT 5/16 STEEL,120
DRILL BIT 3/16 WALL,110
1/4 DRILL BIT WALL,90
10 INCH SALAI WRENCH,250
08 INCH SALAI WRENCH,220
ALLEN KEY 5MM ,50
ALLEN KEY 6MM,50
1.5 INCH PLASTIC GULLY PER PACKET,70
2 INCH PLASTIC GULLY PER PACKET,130
DIAL WRICH 10*11 RINCH,40
DIAL WRICH 12*13 RINCH,40
DIAL WRICH 14*15 RINCH,50
3 MTR MEASUREMENT TAPE,80
5 MTR MEASUREMENT TAPE,100
CELLO TAPE 6 PCS PACK,70
LATTO PECHKAS SCREW DRIVER,85
PECHKASS 6 NO SCREW DRIVER,100
PECHKASS 8 NO SCREW DRIVER,110
PECHKASS 10 NO SCREW DRIVER,120
PECHKASS 12 NO SCREW DRIVER,130
PECHKASS 14 NO SCREW DRIVER,150
NOSE PILAAS,90
PILAAS 8 NO,140
PIN FASTNER 3INCH 70,20
T WRINCH 11 NO RINCH ,110
SHREE RASSI,0.666666667
,
INSULATION FOAM 1/4,30
INSULATION FOAM 1/2,35
VEG BOX CRISPER COVER WHIRLPOOL BIG,350
SKY TECH ODU STAND 2500 GM,330
VOLTAS AC STABLIZER 4KV 130-280,3500
,
Saukat items and table ,0.666666667
GODREJ BIMETAL SENSOR 00066,350
LG BIOMETAL + SENSOR,180
CAR AC KNOB NOB NOBE,480
ADUPTOR / ADUPTOR,80
ADUPTOR  STEEL / ADUPTOR STEEL SILWEL,0.666666667
R 134 / R-134 KNOB / ,0.666666667
HEAD ADUPTOR / HEAD ADUPTAR,0.666666667
GODREJ TOP PCB 02952,1700
ALIMUNINM WELDING ROD,80
WHIRLPOOL FROST FREE SENSOR,220
WHIRLPOOL FROST FREE PCB,950
GALAXY CHARGING PIPE R 22,250
GALAXY CHARGING PIPE R 410,300
CHARGING NIPPLE,30
TUBE CUTTER BIG CT 274,380
TUBE CUTTER MINI CT 128,180
TUBE CUTTER GALAXY,180
FAN MOTOR PANASONIC 0007,700
FAN MOTOR GODREJ 00166,750
WELDING ROD,30
CAR AC CHARGING VALVE BLUE,450
CAR AC CHARGING VALVE RED,450
