Item Name,Selling Price (Customer)
UNIVERSAL DC OLD 45 WATT,0.666666667
DC OLD MOTOR 30,0.666666667
VOLTAS DC FUDON MOTOR,0.666666667
LG DC SMOLL,0.666666667
LG DC SA ORIG,0.666666667
PANASONIC DC MOTOR,0.666666667
HTACHI DC MOTOR,0.666666667
MARUTI REFRIGERATION,
MARUTI REFRIGERATION,
UNIVERSAL DC OLD 45 WATT,0.666666667
SAMSUNG DC INDOOR MOTOR,0.666666667
WHIRLPOOL DC INDOOR MOTOR,0.666666667
VOLTAS AC INDOOR MOTOR,1
PANASONIC AC INDOOR MOTOR,0.666666667
RP35 A INDOOR MOTOR,0.333333333
RP 15 INDOOR MOTOR,-9.99201E-15
SAMSUNG AC INDOOR MOTOR,-0.333333333
RPA 28 AC INDOOR MOTOR,-0.666666667
26 WATT AC INDOOR MOTOR,-1
RP 35 B INDOOR MOTOR,-1.333333333
50 14FD ,-1.666666667
45 14 FD,-2
40+60 MFD CAPACITOR (CONCAP),-2.333333333
40+10,-2.666666667
300 TIE,
250 TIE ,-3.333333333
HAIER BOTTLE SHELF,-3.666666667
HAIER BOOTLE SHELF (JAALI),-4
MARUTI REFRIGERATION,21480
MARUTI REFRIGERATION,17510
D/F T/S ,-4.333333333
MACHZEN NUT,-4.666666667
GODREJ FAN ,-5
GODREJ DC FAN ,-5.333333333
SERVICE COAT,-5.666666667
GODREJ BOTTLE SHELF ,-6
DELIVERY CHARGE,-6.333333333
MARUTI REFRIGERATION,17510
MARUTI REFRIGERATION,17510
10 WATT FAN ,-6.666666667
60 MFD DIKEN,
45 MFD DIKEN,-7.333333333
50 MFD 5 PC CAPACTOR,-7.666666667
LG OUTDOOR MOTOR,-8
SAMSUNG OUTDOOR MOTOR,-8.333333333
PANASONIC OUTDOOR MOTOR,-8.666666667
VOLTAS OUTDOOR MOTOR,-9
MED TUBE COPPER PIPE,-9.333333333
